index,timestamp_iso,pluvio2s_precipitation_mm,valid_data
635,2022-03-30T10:50:00,0.089,1
636,2022-03-30T11:00:00,0.161,1
637,2022-03-30T11:10:00,0.088,1
638,2022-03-30T11:20:00,0.137,1
639,2022-03-30T11:30:00,0.098,1
640,2022-03-30T11:40:00,0.083,1
641,2022-03-30T11:50:00,0.056,1
642,2022-03-30T12:00:00,0.069,1
643,2022-03-30T12:10:00,0.048,1
644,2022-03-30T17:10:00,2.574,1
645,2022-03-30T17:20:00,2.119,1
646,2022-03-30T19:10:00,0.072,1
647,2022-03-30T19:30:00,0.076,1
648,2022-03-30T19:40:00,0.107,1
649,2022-03-30T19:50:00,0.056,1
650,2022-03-30T20:00:00,0.164,1
651,2022-03-30T20:10:00,0.159,1
652,2022-03-30T20:20:00,0.289,1
653,2022-03-30T20:30:00,0.276,1
654,2022-03-30T20:40:00,0.647,1
655,2022-03-30T20:50:00,0.404,1
656,2022-03-30T21:00:00,0.31,1
657,2022-03-30T21:10:00,0.095,1
658,2022-03-30T21:30:00,0.03,1
